,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,initial_list_status,application_type
21657,13307462,15349675,30000,30000,30000.0,1,18.25,766.01,D,17,Loan Officer,1,2,75000.0,Verified,29,1,https://lendingclub.com/browse/loanDetail.action?loan_id=13307462,,debt_consolidation,Debt consolidation,196xx,PA,11.33,0,Mar-97,2,10,1,59.6,16,0,INDIVIDUAL
21667,13076620,15178826,9000,9000,9000.0,0,14.64,310.62,C,12,assistant store manager,10,2,40000.0,Not Verified,30,1,https://lendingclub.com/browse/loanDetail.action?loan_id=13076620,,debt_consolidation,Debt consolidation,553xx,MN,27.13,0,Feb-86,0,11,1,50.2,22,1,INDIVIDUAL
21668,38456236,41250065,8975,8975,8975.0,0,19.99,333.32,E,22,Tech,4,0,30000.0,Source Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=38456236,,other,Other,130xx,NY,15.77,0,Apr-04,0,4,0,98.8,14,0,INDIVIDUAL
21676,3625760,4577981,5450,5450,5450.0,0,17.27,195.37,C,14,"Premier, INC",5,0,61000.0,Not Verified,42,1,https://lendingclub.com/browse/loanDetail.action?loan_id=3625760,Borrower added on 11/21/12 > Consolidating credit card debt<br>,credit_card,Credit card refinancing,297xx,SC,8.04,0,Nov-03,2,5,0,62.2,11,0,INDIVIDUAL
21690,29664630,32197821,8425,8425,8425.0,0,22.15,322.69,E,24,booking clerk,1,0,35000.0,Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=29664630,,debt_consolidation,Debt consolidation,800xx,CO,23.06,0,Feb-04,1,15,1,36.9,25,0,INDIVIDUAL
21713,30115430,32658628,20000,20000,20000.0,0,13.98,683.31,C,12,Educator,10,2,50000.0,Source Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=30115430,,other,Debt consolidation,330xx,FL,29.58,2,Jun-98,0,11,0,75.1,20,1,INDIVIDUAL
21719,60646778,64667533,20000,20000,19950.0,1,18.55,513.73,E,21,Lead Corporate Advisor,5,1,51000.0,Verified,12,1,https://lendingclub.com/browse/loanDetail.action?loan_id=60646778,,debt_consolidation,Debt consolidation,920xx,CA,25.55,0,Aug-05,0,7,0,91.9,50,1,INDIVIDUAL
21721,48546142,51794919,18750,18750,18750.0,0,17.57,673.91,D,18,Purchaser,1,2,48551.0,Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=48546142,,debt_consolidation,Debt consolidation,324xx,FL,22.49,0,Jun-03,2,17,0,56.8,31,0,INDIVIDUAL
21726,42121263,45077980,7500,7500,7475.0,0,12.69,251.77,C,11,Pre K teacher,4,0,34600.0,Source Verified,18,1,https://lendingclub.com/browse/loanDetail.action?loan_id=42121263,,debt_consolidation,Debt consolidation,398xx,GA,32.52,0,Feb-07,1,20,1,59.3,42,0,INDIVIDUAL
21735,58702970,62543707,12600,12600,12600.0,0,12.69,422.37,C,11,Sales and Marketing,1,0,35000.0,Source Verified,13,1,https://lendingclub.com/browse/loanDetail.action?loan_id=58702970,,credit_card,Credit card refinancing,601xx,IL,25.17,0,Aug-04,0,7,0,80.6,19,1,INDIVIDUAL
21743,57326224,61029008,8000,8000,8000.0,0,15.61,279.95,D,15,Team lead,1,2,36800.0,Not Verified,13,1,https://lendingclub.com/browse/loanDetail.action?loan_id=57326224,Borrower added on 03/02/13 > I am seeking to consolidate three credit cards and get a lower payment with a better interest rate<br>,debt_consolidation,Debt consolidation,805xx,CO,24.16,0,Feb-12,0,10,0,53.0,10,1,INDIVIDUAL
21755,2306587,2738867,7000,7000,7000.0,0,7.62,218.35,A,2,Ellis County,10,2,84000.0,Verified,45,1,https://lendingclub.com/browse/loanDetail.action?loan_id=2306587,,house,home improvement,676xx,KS,30.15,0,May-75,0,12,0,77.3,29,0,INDIVIDUAL
21768,33501336,36144602,28000,28000,28000.0,1,10.49,601.72,B,7,engineering,10,2,92800.0,Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=33501336,,credit_card,Credit card refinancing,120xx,NY,27.71,1,Oct-88,0,17,0,80.5,34,1,INDIVIDUAL
21773,16061465,18163959,22600,22600,22600.0,1,20.99,611.26,E,23,Risk Assessor,1,2,97760.0,Not Verified,28,1,https://lendingclub.com/browse/loanDetail.action?loan_id=16061465,,debt_consolidation,Debt consolidation,463xx,IN,22.55,0,Sep-04,3,14,0,58.9,42,0,INDIVIDUAL
21774,10144970,9378315,12000,12000,12000.0,1,21.48,328.14,E,21,GROUND OPERATION,7,2,40000.0,Verified,33,1,https://lendingclub.com/browse/loanDetail.action?loan_id=10144970,,debt_consolidation,PAYOFFS,338xx,FL,12.79,0,Sep-07,1,6,0,35.2,10,0,INDIVIDUAL
21798,25847428,28300385,27200,27200,27175.0,1,17.57,684.21,D,18,floorhand,6,1,65000.0,Source Verified,24,1,https://lendingclub.com/browse/loanDetail.action?loan_id=25847428,,debt_consolidation,Debt consolidation,394xx,MS,28.89,0,Jul-04,0,9,1,78.3,17,0,INDIVIDUAL
21806,51467166,54876901,21975,21975,21975.0,1,19.19,572.03,E,22,licensed sales rep,10,0,60000.0,Source Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=51467166,,debt_consolidation,Debt consolidation,113xx,NY,31.09,0,Sep-87,1,18,1,29.3,31,1,INDIVIDUAL
21823,62145247,66341960,4800,4800,4800.0,0,9.17,153.07,B,6,charge nure RN,1,2,80000.0,Source Verified,11,1,https://lendingclub.com/browse/loanDetail.action?loan_id=62145247,,house,Home buying,980xx,WA,7.9,0,Feb-05,1,8,0,29.5,22,1,INDIVIDUAL
21845,39661738,42485551,7500,7500,7500.0,0,8.19,235.43,A,4,Supervisor,5,0,37500.0,Not Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=39661738,,credit_card,Credit card refinancing,082xx,NJ,22.6,0,Feb-00,0,5,0,88.3,8,1,INDIVIDUAL
21854,46275011,49382745,10000,10000,10000.0,1,7.89,202.18,A,4,Housekeeping Attendent,10,0,29500.0,Verified,17,1,https://lendingclub.com/browse/loanDetail.action?loan_id=46275011,,debt_consolidation,Debt consolidation,448xx,OH,25.65,0,Apr-95,1,26,0,8.6,43,0,INDIVIDUAL
21866,62236786,66433557,32000,32000,32000.0,1,12.29,716.59,C,10,Director of Sales and Marketing,5,0,80000.0,Verified,11,1,https://lendingclub.com/browse/loanDetail.action?loan_id=62236786,,debt_consolidation,Debt consolidation,806xx,CO,22.13,1,Mar-98,1,25,0,51.0,32,1,INDIVIDUAL
21879,29194128,31727318,20000,20000,20000.0,1,13.98,465.37,C,12,Engineer,10,2,97000.0,Source Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=29194128,,debt_consolidation,Debt consolidation,852xx,AZ,13.01,0,Feb-96,0,10,0,59.8,22,1,INDIVIDUAL
21880,24174908,26577782,28775,28775,28775.0,1,12.99,654.35,C,10,Hvac Mech,2,0,57600.0,Source Verified,24,1,https://lendingclub.com/browse/loanDetail.action?loan_id=24174908,,credit_card,Credit card refinancing,451xx,OH,22.61,1,Jan-01,0,11,0,26.4,19,1,INDIVIDUAL
21890,3295442,4067689,18600,18600,18600.0,1,12.12,414.94,B,7,Scheurer Hospital,10,2,84000.0,Source Verified,43,1,https://lendingclub.com/browse/loanDetail.action?loan_id=3295442,,debt_consolidation,debt consolidate,487xx,MI,8.81,0,Jul-90,0,11,0,77.8,20,0,INDIVIDUAL
21900,6889029,7412465,10000,10000,10000.0,0,12.99,336.61,B,8,Logistics Expeditor,10,2,40000.0,Verified,34,1,https://lendingclub.com/browse/loanDetail.action?loan_id=6889029,,debt_consolidation,Loan,800xx,CO,28.58,1,Mar-98,1,9,0,59.0,22,1,INDIVIDUAL
21903,49219233,52527981,35000,35000,35000.0,0,18.25,1269.84,E,20,Attorney,1,0,75000.0,Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=49219233,,debt_consolidation,Debt consolidation,750xx,TX,24.19,0,Nov-04,2,8,0,48.3,21,1,INDIVIDUAL
21913,34442906,37106233,12000,12000,11750.0,1,14.31,281.36,C,13,Front Desk Coordinator,10,0,36000.0,Source Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=34442906,,credit_card,Credit card refinancing,431xx,OH,19.06,0,Oct-02,0,13,0,91.5,21,1,INDIVIDUAL
21914,2476518,2968828,16000,16000,16000.0,1,24.83,467.91,G,31,Dutchess County,4,2,70000.0,Verified,45,1,https://lendingclub.com/browse/loanDetail.action?loan_id=2476518,Borrower added on 12/15/12 > The loan is for our wedding<br><br>  Borrower added on 12/19/12 > We are having a small destination wedding and are covering all of the expenses for our family. In order to make sure that our parents and siblings will be able to attend we opted to take out a loan and cover their costs.<br>,wedding,wedding,125xx,NY,15.65,1,Apr-99,3,34,0,57.6,57,0,INDIVIDUAL
21932,46714090,49861896,19200,19200,19200.0,1,25.8,572.94,G,30,Paralegal,10,2,60000.0,Source Verified,17,1,https://lendingclub.com/browse/loanDetail.action?loan_id=46714090,Borrower added on 05/07/13 > Too pay down a high interest loan.<br>,debt_consolidation,Debt consolidation,370xx,TN,17.19,0,Aug-05,3,9,0,64.0,14,1,INDIVIDUAL
21938,3536915,4429384,22250,22250,22250.0,0,7.62,693.9,A,2,Apex Systems,1,0,50000.0,Verified,42,1,https://lendingclub.com/browse/loanDetail.action?loan_id=3536915,Borrower added on 02/28/13 > I really need this lean very badly. I have kept my credit clean but unfortunately I didn't work that much last year I hope that will not affect me. Take care and I hope to hear from you soon.<br>,credit_card,Credit Card load,774xx,TX,2.43,1,May-98,1,5,0,6.2,20,0,INDIVIDUAL
21953,10103607,6787938,35000,35000,35000.0,0,16.24,1234.6,C,14,Plumber,10,2,100000.0,Verified,32,1,https://lendingclub.com/browse/loanDetail.action?loan_id=10103607,,debt_consolidation,Debt consolidation,604xx,IL,22.66,0,Dec-97,2,12,0,80.8,28,0,INDIVIDUAL
21954,50526971,53906756,15000,15000,15000.0,0,13.99,512.78,C,13,general manager,1,0,53000.0,Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=50526971,,debt_consolidation,Debt consolidation,112xx,NY,5.05,0,Jul-08,2,3,0,89.2,11,0,INDIVIDUAL
21957,176062,176043,2800,2800,699.9982904,0,12.17,92.89,D,16,Brockport Central School District,7,2,45000.0,Not Verified,105,1,https://lendingclub.com/browse/loanDetail.action?loan_id=176062,"My Fiance and I are planning on getting married in april and need a little help with finances. We had just bought a house together and now we would like to complete another chapter in our lives by getting married. We would appreciate the help, and would pay back what we owe. I have been doing very good with my credit rating as my credit has gone up almost 150 pts and would like it to keep going up because I understand my credit is my life and would like to maintain a good credit standing. Also, I am on this site which has certain standards for which you are allowed to borrow money, so I am doing better. Thank you to all who help.",wedding,Getting Married,146xx,NY,19.02,3,Oct-95,1,3,0,44.0,17,0,INDIVIDUAL
21967,623893,799544,10000,10000,10000.0,1,15.2,238.98,D,18,Correctnet Inc.,5,0,42000.0,Source Verified,69,1,https://lendingclub.com/browse/loanDetail.action?loan_id=623893,,debt_consolidation,Personal Debt,117xx,NY,22.84,0,Jan-02,0,20,1,94.6,38,0,INDIVIDUAL
21977,7624815,9306965,13250,13250,13250.0,1,23.4,376.47,E,24,Eligibilty Rep,1,1,40000.0,Source Verified,35,1,https://lendingclub.com/browse/loanDetail.action?loan_id=7624815,Borrower added on 10/17/12 > Getting out of debt was looking a long ways off; by taking out this loan it will be us a lot closer to being out of debt.<br>,home_improvement,HmeAssist,191xx,PA,27.48,0,Nov-04,1,18,0,64.7,27,0,INDIVIDUAL
21986,66482537,71208318,10000,10000,10000.0,0,12.59,335.24,C,11,foreman,1,0,100000.0,Source Verified,9,1,https://lendingclub.com/browse/loanDetail.action?loan_id=66482537,,debt_consolidation,Debt consolidation,967xx,HI,12.24,0,Oct-03,1,5,0,44.7,15,1,INDIVIDUAL
21993,43800268,46817022,12750,12750,12750.0,1,18.84,329.66,E,21,licensed practical nurse,3,2,40000.0,Source Verified,18,1,https://lendingclub.com/browse/loanDetail.action?loan_id=43800268,,debt_consolidation,Debt consolidation,148xx,NY,24.69,0,Jul-92,1,11,0,41.7,34,0,INDIVIDUAL
22008,1560228,1827104,8500,8500,8500.0,0,14.33,291.64,C,10,Liberty Investment Properties,1,0,25000.0,Source Verified,47,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1560228,"Borrower added on 10/01/12 > I am using this loan to make my debt more manageable.  The interest rates on my credit cards went up when the Credit Card Act went through in 2009 and have made it difficult to bring down my balances. With this loan, I can close the accounts and eliminate my debt in 3 years instead of 5-10 years.<br>",credit_card,credit card consolidation,325xx,FL,13.95,0,Nov-00,1,9,0,53.3,29,0,INDIVIDUAL
22015,70552822,75625593,10000,10000,10000.0,0,21.18,377.78,E,22,Lenoir County Schools,-1,1,40000.0,Verified,7,1,https://lendingclub.com/browse/loanDetail.action?loan_id=70552822,,debt_consolidation,Debt consolidation,913xx,CA,6.04,0,Jul-00,0,10,0,29.0,27,0,INDIVIDUAL
22026,48394743,51643475,10900,10900,10900.0,0,14.65,375.64,C,14,HR Generalist,1,2,39000.0,Not Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=48394743,,debt_consolidation,Debt consolidation,712xx,LA,24.4,0,Jul-11,1,9,0,60.0,12,0,INDIVIDUAL
22033,11636901,13609083,12275,12275,12250.0,1,19.47,321.92,D,19,CUSTOMER SERVICE/SALES,10,2,32000.0,Verified,31,1,https://lendingclub.com/browse/loanDetail.action?loan_id=11636901,,debt_consolidation,Debt consolidation,153xx,PA,28.38,0,Apr-04,3,8,1,36.1,14,0,INDIVIDUAL
22051,1439417,1691339,35000,35000,35000.0,1,23.28,992.35,F,26,V&V Supremo Foods,5,2,92500.0,Source Verified,49,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1439417,,small_business,Business,300xx,GA,12.87,0,Oct-03,1,10,0,80.0,23,0,INDIVIDUAL
22064,3066979,3739617,18000,18000,18000.0,1,16.29,440.47,C,13,U.S. Army,10,0,70844.0,Verified,44,1,https://lendingclub.com/browse/loanDetail.action?loan_id=3066979,"Borrower added on 01/07/13 > I plan to use this loan to consolidate credit card and installment loan debts into one simple fixed rate monthly payment. Though I'm never late on any of my payments, I just find it easier to have one payment to manage as opposed to several. I've been in the Army on active duty for almost 15 years.<br>",debt_consolidation,Debt Consolidation Loan,750xx,TX,25.41,0,Jan-99,0,10,0,47.1,17,0,INDIVIDUAL
22072,6325282,7857318,2500,2500,2500.0,0,14.33,85.73,C,11,pacific power,9,2,85500.0,Verified,38,1,https://lendingclub.com/browse/loanDetail.action?loan_id=6325282,,vacation,reno,829xx,WY,29.28,1,Aug-95,0,11,0,68.3,38,0,INDIVIDUAL
22081,21780864,24103826,20000,20000,19975.0,0,18.99,733.1,E,20,jiw,7,0,75000.0,Verified,25,1,https://lendingclub.com/browse/loanDetail.action?loan_id=21780864,,debt_consolidation,Debt consolidation,951xx,CA,27.41,1,Aug-98,1,10,0,77.5,23,0,INDIVIDUAL
22084,5794138,7225877,12000,12000,12000.0,0,17.27,429.7,C,14,EARNHARDT SCOTTSDALE LEXUS,10,2,47322.36,Not Verified,39,1,https://lendingclub.com/browse/loanDetail.action?loan_id=5794138,Borrower added on 06/17/13 > I am trying for this loan to pay off my credit card debt faster.My interest rates on the cards are to high and the balances are not going down fast enough on the higher balances.I feel this will free up extra money to do things I need to do for my family.taking control of credit card spending<br><br> Borrower added on 06/17/13 > IT IS FOR TAKING CONTROL OF MY CREDIT CARD DEBT AND SPENDING<br><br> Borrower added on 06/17/13 > CREDIT CARD DEBT<br><br> Borrower added on 06/17/13 > MY LOAN IS FOR CONSOLODATING MY CREDIT CARDS INTO ONE PAYMENT SO I CAN REDUCE MY DEBT<br><br> Borrower added on 06/17/13 > TO CONSOLODATE MY CREDIT CARD DEBT<br><br>  Borrower added on 06/17/13 > My loan is for consolidating my credtit card debt.I always make my credit card bills on time and see that even though I sometimes pay over the minimum due the balances are either barely going down or not going down enough to put a dent in what I owe.I wil help having one payment with low interest<br><br>  Borrower added on 06/17/13 > PUTTING ALL MY DEBT INTO ONE PAYMENT AT A LOWER INTEREST RATE WILL FREE UP ENOUGH MONEY FOR ME TO PAY OFF MY DEBT FASTER AND MORE EFFICIANTLY<br>,debt_consolidation,ONE PAYMENT FOR CREDIT DEBT,852xx,AZ,16.49,1,Apr-02,1,10,0,78.0,26,0,INDIVIDUAL
22085,67275613,72077335,6075,6075,6075.0,0,22.99,235.29,F,26,Hostess,1,2,20280.0,Verified,9,1,https://lendingclub.com/browse/loanDetail.action?loan_id=67275613,,debt_consolidation,Debt consolidation,631xx,MO,5.23,0,Aug-09,0,3,0,66.7,14,1,INDIVIDUAL
22094,1255705,1498163,19200,19200,19200.0,0,13.99,656.01,C,10,Guaranty Bank FSB,8,2,81500.0,Source Verified,53,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1255705,Borrower added on 01/21/13 > This loan to pay my debts and cancel my credit cards.I can breath now.I learned my lesson.Thank you for this opportunity.God bless you.<br>,debt_consolidation,LC Loan billconsol,532xx,WI,7.86,0,Jun-94,0,7,0,94.5,17,0,INDIVIDUAL
22098,9415108,11247228,24000,24000,24000.0,0,12.85,806.98,B,8,Supervisor,10,0,113000.0,Verified,33,1,https://lendingclub.com/browse/loanDetail.action?loan_id=9415108,,car,repair,125xx,NY,8.37,1,May-87,3,12,0,1.7,27,1,INDIVIDUAL
22126,40421433,43286189,24000,24000,24000.0,1,22.99,676.56,F,25,Driver (independent contractor),1,0,75000.0,Source Verified,19,1,https://lendingclub.com/browse/loanDetail.action?loan_id=40421433,,major_purchase,Major purchase,751xx,TX,12.59,0,Aug-00,2,7,0,36.9,14,0,INDIVIDUAL
22145,43914414,46931132,6400,6400,6400.0,0,14.65,220.7,C,14,Accounting Clerk,4,2,43000.0,Verified,17,1,https://lendingclub.com/browse/loanDetail.action?loan_id=43914414,,debt_consolidation,Debt consolidation,440xx,OH,25.11,1,Nov-90,0,17,0,43.8,41,0,INDIVIDUAL
22150,48191336,51411055,12975,12975,12975.0,1,19.52,340.68,E,22,Lab Technologist,1,0,30960.0,Not Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=48191336,,credit_card,Credit card refinancing,232xx,VA,30.7,1,Aug-02,0,10,1,65.9,21,1,INDIVIDUAL
22153,36179496,38881159,18000,18000,18000.0,1,15.59,433.66,D,15,Case Manager RN,1,2,68000.0,Source Verified,21,1,https://lendingclub.com/browse/loanDetail.action?loan_id=36179496,,other,Other,750xx,TX,23.66,1,Jan-86,0,20,0,49.3,23,0,INDIVIDUAL
22180,12256751,14248880,9100,9100,9100.0,0,25.57,364.51,F,29,Chase Bank N.A,-1,0,35600.0,Verified,30,1,https://lendingclub.com/browse/loanDetail.action?loan_id=12256751,"Borrower added on 05/15/13 > I have 8,000 dollars in credit card debt that I want to refinance and get rid of. The interest that I'm paying on those cards its higher thatn what i would get with this loan. I plan on paying the loan a little earlier than the 3 years.<br>",debt_consolidation,Debt consolidation,921xx,CA,6.57,0,Sep-00,3,2,0,81.7,8,0,INDIVIDUAL
22186,55471311,59073026,8000,8000,8000.0,0,9.99,258.43,B,7,Director of Support,6,0,70000.0,Source Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=55471311,,car,Car financing,712xx,LA,16.74,1,Mar-04,0,8,1,82.5,11,0,INDIVIDUAL
22204,25207096,27649875,23500,23500,23500.0,1,24.5,682.98,F,27,Journeymen,10,0,62000.0,Verified,24,1,https://lendingclub.com/browse/loanDetail.action?loan_id=25207096,,debt_consolidation,Debt consolidation,950xx,CA,15.38,0,May-95,3,11,0,77.9,31,1,INDIVIDUAL
22223,576122,740952,10000,10000,9730.26659,1,16.32,244.84,D,19,indian valley ymca,3,0,48000.0,Source Verified,72,1,https://lendingclub.com/browse/loanDetail.action?loan_id=576122,,debt_consolidation,debt payoff,189xx,PA,7.58,0,Feb-99,2,6,0,74.2,12,0,INDIVIDUAL
22265,1289776,1533929,29700,29700,29700.0,1,22.45,827.98,F,25,sangam indian cuisine,6,0,60000.0,Source Verified,52,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1289776,,vacation,Personal,945xx,CA,16.83,0,Sep-01,1,9,0,90.4,21,0,INDIVIDUAL
22277,29624551,32157745,12000,12000,11750.0,1,16.29,293.48,D,16,Commercial Account Manager,1,0,60000.0,Not Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=29624551,,debt_consolidation,Debt consolidation,946xx,CA,24.78,1,Oct-94,0,10,0,18.5,10,0,INDIVIDUAL
22281,4464973,5697148,8500,8500,8500.0,0,12.12,282.44,B,7,Ochsner,1,0,40060.0,Not Verified,41,1,https://lendingclub.com/browse/loanDetail.action?loan_id=4464973,,credit_card,Credit Card Consolidation,700xx,LA,27.55,0,Jan-02,0,10,0,64.1,33,1,INDIVIDUAL
22285,44765647,47843377,20000,20000,20000.0,0,12.69,670.99,C,11,Client Executive,8,2,220000.0,Verified,17,1,https://lendingclub.com/browse/loanDetail.action?loan_id=44765647,,credit_card,Credit card refinancing,925xx,CA,16.99,1,Feb-02,0,10,0,88.8,33,0,INDIVIDUAL
22289,56060619,59722414,5000,5000,5000.0,0,7.89,156.76,A,4,counselor,-1,0,35000.0,Source Verified,13,1,https://lendingclub.com/browse/loanDetail.action?loan_id=56060619,,debt_consolidation,Debt consolidation,021xx,MA,10.89,0,Feb-98,0,14,0,32.3,27,1,INDIVIDUAL
22293,48051451,51291213,35000,35000,35000.0,1,12.69,790.57,C,11,Regional Sales Manager,4,1,92000.0,Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=48051451,,home_improvement,Home improvement,787xx,TX,17.58,1,Feb-89,3,11,0,10.2,39,0,INDIVIDUAL
22301,55109888,58680666,25000,25000,25000.0,0,9.99,806.25,B,7,Assistant Vice President Network Lead,10,0,106000.0,Source Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=55109888,Borrower added on 10/01/13 > Driveway repair.<br>,credit_card,Credit card refinancing,930xx,CA,26.58,0,Aug-02,0,15,0,78.3,20,1,INDIVIDUAL
22302,9218927,9044319,2000,2000,2000.0,0,9.67,64.17,B,5,Physical therapist,7,2,85000.0,Verified,33,1,https://lendingclub.com/browse/loanDetail.action?loan_id=9218927,,credit_card,Credit card refinance,190xx,PA,26.99,0,Nov-97,2,25,0,17.7,46,1,INDIVIDUAL
22312,45294471,48392201,11800,11800,11800.0,1,13.33,270.52,C,12,haz mat driver,3,0,65000.0,Verified,17,1,https://lendingclub.com/browse/loanDetail.action?loan_id=45294471,,credit_card,Credit card refinancing,453xx,OH,33.28,0,Feb-05,2,15,0,74.7,25,1,INDIVIDUAL
22313,6315517,7847518,16000,16000,16000.0,0,9.71,514.29,B,5,D.A.Development,10,2,55000.0,Not Verified,37,1,https://lendingclub.com/browse/loanDetail.action?loan_id=6315517,Borrower added on 07/22/13 > consolidation<br><br> Borrower added on 07/22/13 > debt consolidation<br>,debt_consolidation,Debt consolidation,983xx,WA,25.17,0,Mar-79,1,7,0,92.3,19,0,INDIVIDUAL
22333,59945304,63890020,11875,11875,11875.0,1,21.99,327.91,F,25,Account Director,1,0,55000.0,Source Verified,12,1,https://lendingclub.com/browse/loanDetail.action?loan_id=59945304,,debt_consolidation,Debt consolidation,331xx,FL,27.51,0,Jan-88,1,13,0,71.0,15,0,INDIVIDUAL
22346,32188200,34801365,15975,15975,15975.0,0,16.49,565.68,D,17,Director,10,2,47000.0,Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=32188200,,debt_consolidation,Debt consolidation,978xx,OR,34.66,0,Sep-05,0,12,0,66.0,22,1,INDIVIDUAL
22367,44965398,48043120,3000,3000,3000.0,0,12.69,100.53,C,11,Teacher,1,0,60000.0,Not Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=44965398,,debt_consolidation,Debt consolidation,070xx,NJ,29.74,0,Jan-01,0,11,0,94.2,39,1,INDIVIDUAL
22392,38372669,41156463,20000,20000,20000.0,1,17.86,506.17,D,19,RN,1,0,75000.0,Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=38372669,,debt_consolidation,Debt consolidation,923xx,CA,12.62,0,Feb-07,1,22,0,37.0,29,0,INDIVIDUAL
22404,69018139,73974869,20000,20000,20000.0,1,10.78,432.66,B,8,Machine Operator,7,0,43000.0,Verified,8,1,https://lendingclub.com/browse/loanDetail.action?loan_id=69018139,,credit_card,Credit card refinancing,481xx,MI,28.74,0,Sep-05,1,22,0,26.3,30,1,INDIVIDUAL
22412,66620403,71346121,19200,19200,19200.0,1,13.18,438.86,C,12,Teacher,10,2,131000.0,Source Verified,9,1,https://lendingclub.com/browse/loanDetail.action?loan_id=66620403,,debt_consolidation,Debt consolidation,107xx,NY,7.88,0,Sep-99,0,16,0,91.3,28,1,INDIVIDUAL
22437,53754641,57295375,16200,16200,16200.0,1,14.65,382.45,C,14,Uniform Room Attendant,10,2,80000.0,Source Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=53754641,Borrower added on 12/23/13 > Purpose is to pay off balance on Diners Club.<br>,debt_consolidation,Debt consolidation,891xx,NV,7.19,0,Nov-02,1,9,1,32.4,27,0,INDIVIDUAL
22441,6571605,8123600,12000,12000,12000.0,1,20.8,323.37,E,20,MBA CSi,4,0,45000.0,Verified,37,1,https://lendingclub.com/browse/loanDetail.action?loan_id=6571605,Borrower added on 07/30/13 > This loan is to assist in paying off credit card bills. My ultimate goal is to pay one monthly payment as opposed to juggling numerous monthly payments.<br>,debt_consolidation,credit loan,107xx,NY,24.49,1,Aug-98,0,13,0,51.0,25,0,INDIVIDUAL
22445,63340205,67682064,5000,5000,5000.0,0,12.05,166.12,C,10,RN,10,2,80000.0,Not Verified,10,1,https://lendingclub.com/browse/loanDetail.action?loan_id=63340205,,home_improvement,Home improvement,161xx,PA,35.44,0,Dec-81,3,22,0,42.1,61,0,INDIVIDUAL
22478,55543392,59145111,10000,10000,10000.0,0,13.33,338.3,C,12,Dental technician,2,2,75000.0,Source Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=55543392,,debt_consolidation,Debt consolidation,334xx,FL,19.85,1,May-83,0,15,1,49.2,31,1,INDIVIDUAL
22491,53382112,56911824,25200,25200,25200.0,1,24.99,739.59,F,28,Tool room,1,2,80000.0,Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=53382112,,debt_consolidation,Debt consolidation,796xx,TX,31.46,0,Dec-07,0,18,0,65.6,31,1,INDIVIDUAL
22496,15751034,17843459,10000,10000,9925.0,1,21.18,271.69,E,22,RESPIRATORY THERAPIST,1,2,60000.0,Source Verified,28,1,https://lendingclub.com/browse/loanDetail.action?loan_id=15751034,,other,Other,913xx,CA,12.22,0,Mar-99,1,22,0,81.0,43,0,INDIVIDUAL
22504,70591740,75665504,16200,16200,16200.0,1,20.75,435.68,E,21,Administrative Assistant,6,1,45000.0,Source Verified,7,1,https://lendingclub.com/browse/loanDetail.action?loan_id=70591740,,debt_consolidation,Debt consolidation,330xx,FL,26.41,0,Jul-02,2,19,1,57.7,23,1,INDIVIDUAL
22528,16692275,18804804,19200,19200,19200.0,1,13.35,440.32,C,11,ACCOUNT MANAGER,9,2,55000.0,Source Verified,28,1,https://lendingclub.com/browse/loanDetail.action?loan_id=16692275,,debt_consolidation,Debt consolidation,640xx,MO,22.49,0,Nov-97,0,8,0,74.8,12,1,INDIVIDUAL
